id,target
250,0.711989
251,0.88442606
252,0.70246506
253,0.9892153
254,0.87031686
255,0.55789906
256,0.56581324
257,0.41375783
258,0.98703206
259,0.7311782
260,0.79571164
261,0.58071613
262,0.5764822
263,0.92537546
264,0.43293217
265,0.9768126
266,0.46965945
267,0.83904076
268,0.5722445
269,0.79018325
270,0.3856682
271,0.90416783
272,0.8059895
273,0.15833367
274,0.80118513
275,0.6639446
276,0.21334271
277,0.9496128
278,0.9406658
279,0.9311536
280,0.582052
281,0.6956232
282,0.6463257
283,0.2808697
284,0.9720804
285,0.49452826
286,0.7803737
287,0.4898986
288,0.95855653
289,0.9399144
290,0.5591389
291,0.5946901
292,0.89919823
293,0.87261605
294,0.3819569
295,0.89370257
296,0.9843581
297,0.6720301
298,0.8795319
299,0.6688457
300,0.7416446
301,0.8107898
302,0.965402
303,0.93666166
304,0.7252049
305,0.9919773
306,0.97956276
307,0.7946882
308,0.9829547
309,0.47625288
310,0.9672405
311,0.97122025
312,0.9638963
313,0.91315144
314,0.07649716
315,0.21930426
316,0.98881835
317,0.94002247
318,0.48223072
319,0.96821654
320,0.72610587
321,0.76116234
322,0.8615487
323,0.9193012
324,0.9628585
325,0.50978553
326,0.5830978
327,0.17747584
328,0.80293256
329,0.6097389
330,0.37031904
331,0.49087837
332,0.5016328
333,0.30090216
334,0.9819255
335,0.908486
336,0.84977645
337,0.87835574
338,0.7496768
339,0.5054133
340,0.95083827
341,0.4156319
342,0.9751314
343,0.8487237
344,0.9663844
345,0.44295475
346,0.9012123
347,0.8271431
348,0.75447774
349,0.8795755
350,0.9182234
351,0.61160445
352,0.8111809
353,0.8405312
354,0.7695135
355,0.85343957
356,0.6044515
357,0.8304732
358,0.7822167
359,0.75488794
360,0.9778039
361,0.44529065
362,0.70752114
363,0.9803075
364,0.853193
365,0.386709
366,0.7351905
367,0.79276544
368,0.40256506
369,0.8570747
370,0.8231658
371,0.50488746
372,0.29500076
373,0.21741234
374,0.9439132
375,0.989965
376,0.66586316
377,0.6764639
378,0.82854074
379,0.28593576
380,0.9024125
381,0.97982544
382,0.9467384
383,0.89433926
384,0.40440688
385,0.89545786
386,0.9283529
387,0.9010392
388,0.30704644
389,0.159484
390,0.85513616
391,0.47985366
392,0.61668855
393,0.618975
394,0.815117
395,0.7974877
396,0.6422505
397,0.4392002
398,0.9379098
399,0.97831327
400,0.74315876
401,0.7205888
402,0.4461411
403,0.87079257
404,0.49583066
405,0.9559387
406,0.6678005
407,0.41302463
408,0.92177784
409,0.88721275
410,0.96040034
411,0.9621613
412,0.8135803
413,0.935262
414,0.9461289
415,0.8847899
416,0.34601837
417,0.95278156
418,0.48205504
419,0.97212845
420,0.75926185
421,0.65300894
422,0.8033506
423,0.9495242
424,0.86228883
425,0.5457977
426,0.36580762
427,0.89172083
428,0.9538915
429,0.40166292
430,0.5437683
431,0.19212267
432,0.927651
433,0.980052
434,0.9519261
435,0.14751536
436,0.789152
437,0.26956418
438,0.9740602
439,0.9380168
440,0.8617542
441,0.39776808
442,0.9285641
443,0.3792413
444,0.799475
445,0.027274959
446,0.7739301
447,0.27834928
448,0.42253986
449,0.96761805
450,0.1477937
451,0.9011115
452,0.88176954
453,0.24792102
454,0.9380705
455,0.9787961
456,0.5780875
457,0.7775973
458,0.6345719
459,0.7890772
460,0.9563519
461,0.6949995
462,0.76747936
463,0.24930151
464,0.9174993
465,0.96690804
466,0.76518315
467,0.83720964
468,0.92048144
469,0.37238005
470,0.47697255
471,0.33972397
472,0.66975504
473,0.9157749
474,0.96694607
475,0.66438854
476,0.9042155
477,0.9582425
478,0.99703276
479,0.8402392
480,0.51478934
481,0.32050562
482,0.98587877
483,0.50782514
484,0.9794948
485,0.63672894
486,0.64188814
487,0.69574726
488,0.9448209
489,0.92788064
490,0.40370682
491,0.6489359
492,0.44917765
493,0.9289678
494,0.9275906
495,0.8730727
496,0.726403
497,0.07418266
498,0.90353864
499,0.83698964
500,0.9567273
501,0.81466943
502,0.6422139
503,0.9123096
504,0.9274506
505,0.99503255
506,0.47546813
507,0.38603488
508,0.75019294
509,0.9851549
510,0.40132272
511,0.97285956
512,0.6460307
513,0.9284016
514,0.43166438
515,0.5987065
516,0.9217124
517,0.75247425
518,0.9792939
519,0.8637694
520,0.686093
521,0.56995887
522,0.8986129
523,0.6911061
524,0.6827644
525,0.8369301
526,0.9365003
527,0.9149411
528,0.81565976
529,0.5009624
530,0.86089224
531,0.9821638
532,0.95970726
533,0.57932025
534,0.8535606
535,0.9691339
536,0.82179147
537,0.67744905
538,0.28575906
539,0.99469936
540,0.96673656
541,0.84617436
542,0.9480189
543,0.9667614
544,0.82950777
545,0.93502295
546,0.96537024
547,0.93271613
548,0.99373984
549,0.92231256
550,0.98192847
551,0.89237815
552,0.94951844
553,0.9794493
554,0.11983041
555,0.8912908
556,0.9896584
557,0.88363343
558,0.26975885
559,0.6927956
560,0.67105633
561,0.36306572
562,0.59761566
563,0.8733371
564,0.4308206
565,0.96649396
566,0.37032455
567,0.3479108
568,0.94566655
569,0.77653164
570,0.9671559
571,0.8581849
572,0.5406099
573,0.8626932
574,0.6113951
575,0.95664054
576,0.023691667
577,0.9072584
578,0.79294187
579,0.9848438
580,0.9256053
581,0.7907121
582,0.8076852
583,0.49100477
584,0.913017
585,0.5485162
586,0.96258163
587,0.71283674
588,0.46532318
589,0.7130993
590,0.98480994
591,0.7037754
592,0.93952835
593,0.93674755
594,0.7123103
595,0.7745535
596,0.61884695
597,0.9652105
598,0.8313541
599,0.649597
600,0.5460457
601,0.9400787
602,0.9263985
603,0.9722693
604,0.9262567
605,0.8725411
606,0.93081117
607,0.8632094
608,0.8973472
609,0.97471863
610,0.9736094
611,0.5118942
612,0.49995768
613,0.57728654
614,0.7548427
615,0.2021506
616,0.9765638
617,0.934052
618,0.3983153
619,0.7600311
620,0.105851986
621,0.34743676
622,0.9392927
623,0.81987447
624,0.16315103
625,0.98258084
626,0.23858646
627,0.89607483
628,0.59398586
629,0.7765735
630,0.27566215
631,0.847003
632,0.8266224
633,0.35884866
634,0.8058955
635,0.9758716
636,0.5474741
637,0.98064464
638,0.7908688
639,0.17966722
640,0.58957165
641,0.9215692
642,0.7202185
643,0.5712611
644,0.7146183
645,0.79826236
646,0.22942457
647,0.7746052
648,0.20270365
649,0.2839117
650,0.3345993
651,0.54010564
652,0.0974631
653,0.9391051
654,0.53205544
655,0.304171
656,0.5975187
657,0.9639913
658,0.4935104
659,0.34129506
660,0.37829217
661,0.8921357
662,0.73201513
663,0.2299563
664,0.99264526
665,0.6299213
666,0.9312654
667,0.9275326
668,0.6267853
669,0.9141654
670,0.6134333
671,0.34002128
672,0.6581644
673,0.8566659
674,0.515227
675,0.93895364
676,0.80228305
677,0.76432234
678,0.9893947
679,0.8840769
680,0.50295347
681,0.49997437
682,0.7439617
683,0.7248508
684,0.48268646
685,0.9849593
686,0.91612625
687,0.33789945
688,0.31444293
689,0.9461845
690,0.83127576
691,0.96201533
692,0.9841627
693,0.8927113
694,0.4292234
695,0.629881
696,0.6547196
697,0.1085521
698,0.88435876
699,0.6987703
700,0.19800758
701,0.9150417
702,0.9418807
703,0.41640684
704,0.9917209
705,0.93131083
706,0.3530535
707,0.9223796
708,0.6551396
709,0.94992197
710,0.8868745
711,0.69124746
712,0.86372226
713,0.9851673
714,0.83562404
715,0.7449078
716,0.78631026
717,0.17223744
718,0.9200628
719,0.4428514
720,0.9499432
721,0.91176045
722,0.9493955
723,0.5253949
724,0.7976865
725,0.91856086
726,0.9477396
727,0.8667735
728,0.76554126
729,0.94728076
730,0.97779036
731,0.9570147
732,0.90239054
733,0.864144
734,0.6101367
735,0.86261934
736,0.8363645
737,0.8615346
738,0.203687
739,0.70566577
740,0.9479043
